LA,ESTAB,URN,PERCTOT,PPERSABS10
204,2872,100260,4,8.3
204,2896,100261,3.5,8.5
204,2897,130932,3.6,4.4
204,2898,131141,3.9,8.2
204,2899,131706,2.8,2.5
204,2900,133669,4.7,15.4
204,3000,132137,2.6,3.3
204,3358,100263,4.1,9.3
204,3371,100264,2.9,3.4
204,3458,100266,4,10
204,3543,100267,3.3,6.6
204,3553,100268,3,8.1
204,3572,100269,3.2,4.3
204,3616,100270,5,15.8
204,3618,100271,4.5,11.9
204,3659,100274,3.6,10.5
204,3663,100275,5.1,14.5
204,3664,145610,6.2,12.5
204,3665,142255,3.9,8
204,3666,121792,4.1,9.5
204,4000,145609,6.1,13.3
204,4002,139595,9.2,28.9
204,4003,140210,3.2,6.3
204,4005,143756,5.1,15.9
204,4283,100277,6.5,20.5
204,4302,137442,3.9,6.3
204,4310,100279,3.4,6.3
204,4318,133599,5.2,9.3
204,4641,100282,4.6,11.5
204,4697,100284,4.5,10.8
204,4714,100285,4.1,10.9
204,6905,134693,3.4,7.2
204,6906,131062,5.8,16.4
204,6907,131609,5.3,13.6
204,6908,135835,5.1,13.9
204,6909,136137,4.9,10.6
204,7097,100307,5.6,15.2
204,7161,100311,5.9,14.1
204,7171,100312,16.6,45.8
205,2000,137331,3.6,9.1
205,2001,139546,3.5,4.3
205,2002,100321,4.6,10.6
205,2003,139820,5.6,17.6
205,2004,140811,3.9,7.9
205,2005,141685,4.3,5.2
205,2026,100322,4.1,6.7
205,2045,138680,4.1,8.7
205,2061,100324,4.5,9
205,2134,100326,4.6,9.8
205,2223,100328,5,10.2
205,2286,143213,4.7,11.2
205,2309,142256,4.4,8.4
205,2350,100331,3.4,3.9
205,2383,140634,6.5,24.7
205,2408,100334,5.1,11.4
205,2444,100335,6.1,20
205,2484,143212,3.6,6.3
205,2555,100338,4,8.4
205,2577,143214,5.5,15.2
205,2632,100340,4.2,7.1
205,2660,100341,5,11.1
205,2913,141902,3.1,5.8
205,3300,100344,3.6,5.6
205,3354,100345,3,3.6
205,3368,100346,2.6,1.4
205,3378,100347,2.7,SUPP
205,3463,100349,3.9,6
205,3529,100350,4.3,8.4
205,3566,100351,4.9,13.1
205,3578,100352,3.3,5.1
205,3600,100353,3.6,3.9
205,3602,100354,3.3,4
205,3645,100355,4.3,7.5
205,3648,100357,4.5,8.8
205,3649,134009,3.3,3.6
205,3650,134273,5.7,13.5
205,4000,136750,7.6,20.3
205,4001,141135,6.1,17.9
205,4002,141617,4.2,8.7
205,4004,143129,7.9,24.2
205,4106,139364,6.2,17
205,4315,139365,6.3,17.1
205,4620,137935,4.2,7.1
205,4632,138607,4,7.7
205,5400,137157,4.3,9.5
205,6905,131752,7.6,22.8
205,6906,136172,4.2,6.9
205,7014,100378,6.2,15.8
205,7153,100379,14.2,27.5
205,7203,100381,12.1,36.7
205,7204,100382,12.3,35.2
205,7206,135175,6,19
206,2000,140495,4.2,7.8
206,2001,143020,3.3,7.1
206,2002,144961,5.9,18.5
206,2003,145731,5.1,12.3
206,2015,100397,2.3,1.8
206,2128,100401,5,13.7
206,2166,100402,4.4,10.4
206,2170,100403,4.4,10.6
206,2251,100405,2.2,2.7
206,2261,100406,4.1,5.8
206,2279,100407,4.7,11.4
206,2282,100408,4.9,11
206,2379,100411,6.5,21.2
206,2429,100415,4.6,12.9
206,2455,100418,4.8,10.3
206,2515,100422,5,12.7
206,2596,100425,4.6,11
206,2624,100426,4.6,10.1
206,2643,137566,3.3,5
206,2646,100428,4,8
206,2666,100429,3.7,4.9
206,2803,100430,5.3,15.9
206,2805,100431,5.3,13.7
206,2809,100432,4.4,9.2
206,2850,100434,4.6,10.1
206,2852,131218,4.7,13
206,2853,131325,4.1,7.8
206,2854,131773,4.5,10.4
206,2855,131842,4.5,8.1
206,2856,131741,5.2,15.2
206,2857,131740,5.1,14.1
206,3384,100437,3.8,7.5
206,3456,100438,4.7,8.8
206,3465,100439,4,7.7
206,3471,100440,2.8,3.3
206,3483,100441,3.5,6.2
206,3488,100442,5.5,12.8
206,3495,100443,4,8.7
206,3501,100444,3.4,7.3
206,3527,100446,3.6,6.7
206,3575,100447,4.2,7.8
206,3606,100448,2.6,SUPP
206,3631,100449,2.9,3.9
206,3633,100450,4.8,13.6
206,3643,100451,4,11.5
206,3644,137393,5.6,15
206,4001,143659,6.4,18.3
206,4003,144962,6.2,16.3
206,4112,100453,5.1,12.8
206,4307,100455,6.5,16.9
206,4324,100457,5.5,14.2
206,4325,131690,7.4,21.7
206,4614,100458,4.1,7.9
206,4651,100459,4.2,8.7
206,6905,134314,5.5,13.6
206,6906,135587,5.9,14.2
206,7000,139418,11.5,SUPP
206,7001,141605,6.4,SUPP
206,7002,143702,6.3,18.9
206,7030,100467,12.5,37.5
206,7031,143217,7,22.2
206,7146,100469,9,31
207,2000,139645,4.2,7.1
207,2001,140213,5.1,12.3
207,2021,100477,5.5,13.8
207,2030,100478,5.2,12.1
207,2050,100479,4.7,10.7
207,2060,100480,4.5,8.5
207,2121,100481,3.4,3.2
207,2229,100482,2.8,3.1
207,2399,100483,5.4,13.5
207,2452,100485,5.7,18.7
207,2456,100486,4,12.6
207,2538,100487,5.4,12
207,2594,100488,2.1,1.6
207,3321,100489,1.7,SUPP
207,3356,100490,6.2,17.4
207,3379,100491,3.3,1.6
207,3402,100492,4.4,9.8
207,3417,100493,3.6,5.8
207,3437,100494,2.9,5
207,3455,100495,4.6,10.4
207,3477,100496,3.7,7.6
207,3504,100497,4.5,10.4
207,3541,100498,6.5,19.5
207,3542,100499,5.6,17.2
207,3613,100500,4.1,7.8
207,4000,140212,6.5,19.1
207,4320,140134,4.5,9.1
207,4681,100502,4.4,10.6
207,4801,100503,7.4,20.3
207,5200,100504,3.6,3.8
207,5201,100505,3.9,6
207,5402,141931,3.9,6.8
207,6905,135531,5.8,14.1
207,7164,141957,7,21.9
208,2001,146368,3.9,8.2
208,2022,100556,4.1,7.9
208,2115,100560,3.9,5.5
208,2265,100564,4.2,8.9
208,2292,100566,5,12.5
208,2295,100567,3.6,7
208,2331,100572,4.9,11.5
208,2332,137430,3.1,6.3
208,2359,100574,4.2,9.4
208,2371,100576,4.4,8
208,2459,100577,3.8,6.9
208,2504,100578,5.2,16.6
208,2575,100584,3.9,8.5
208,2578,100585,3.8,7.4
208,2591,100586,3.3,6.6
208,2617,100588,4.1,12
208,2626,100589,4.3,10.6
208,2657,100590,2.9,2.9
208,2664,100591,3.9,7.3
208,2783,100593,6.3,19.5
208,2785,100595,4.8,12.8
208,2794,100597,4.1,9.3
208,2808,100598,4.3,10.1
208,2836,100601,4.3,9.1
208,2868,100604,5.2,13.7
208,2895,100608,4.1,7.1
208,2897,131247,4.3,10.1
208,2898,131340,4.9,16
208,2899,144308,3.6,6.8
208,2900,131824,3.6,3.9
208,2901,131874,5.6,16.9
208,2902,100582,4.3,11.8
208,2903,133315,3.8,6.2
208,2905,133584,4.7,12.6
208,3000,133662,5.5,17.7
208,3307,100609,4,9.5
208,3324,100610,4.4,12.7
208,3329,145614,3.2,4.5
208,3375,100612,3.3,5.4
208,3403,100613,3.8,7.1
208,3457,100614,3.1,5.5
208,3466,100615,3.2,3.5
208,3491,100616,2.5,1.8
208,3493,145615,3.3,4.5
208,3499,145616,5,14
208,3502,100619,4.3,12.1
208,3589,100620,5,13.1
208,3596,100621,4.2,9.4
208,3621,100622,4.8,14.1
208,3641,100623,3.3,4.3
208,3642,134507,3.9,9.4
208,3643,135614,3.6,4.4
208,4000,139659,4.4,9.1
208,4003,140966,9.3,35.3
208,4005,142905,6,17.3
208,4006,145857,6.1,16.7
208,4223,100624,4.1,8.6
208,4321,100625,5.2,12.6
208,4322,136450,5.8,15.9
208,4509,100627,4.5,13.1
208,4731,144309,5.4,14.2
208,5200,100628,3.7,6.4
208,5201,100629,3.8,8
208,5202,137295,1.9,SUPP
208,5203,100631,4.3,12.9
208,5204,100632,3,2.9
208,5205,100633,3.2,3.4
208,5206,100634,3.3,5.7
208,5208,100636,2.7,4.9
208,5209,100602,3.3,4.4
208,5400,100637,4.1,9.9
208,5401,100638,2.6,3.2
208,5402,137093,4.9,10.4
208,5404,137966,6.2,19.3
208,5405,100642,5.3,13.3
208,5950,100643,7.7,24.3
208,6905,134815,5.7,13.6
208,6906,135389,6.6,19.8
208,6907,137954,7.4,20.9
208,7001,100654,8.9,19.8
208,7115,100659,11,32.4
208,7194,133440,15.4,42.7
208,7195,133442,9.6,36.2
209,2000,100671,4.5,9.9
209,2001,139672,2.5,3
209,2002,142456,4.2,8
209,2004,146100,4.2,10
209,2023,100672,5.3,14.9
209,2029,100673,4.5,11.3
209,2068,100674,4.2,8.6
209,2108,146221,4.3,9.5
209,2127,100676,3.7,6.2
209,2148,100677,3,7
209,2158,100678,3.9,9.6
209,2163,100679,4.3,10.5
209,2187,100680,3.4,4.3
209,2197,100681,4.6,12
209,2225,100683,5.9,17.3
209,2259,100684,3.3,4.6
209,2267,100685,3,5.2
209,2289,100686,3.5,5.1
209,2304,100687,3.6,6.8
209,2307,100688,4.6,9.6
209,2342,100689,3.1,4.3
209,2347,100690,4.8,11.7
209,2349,100691,4.4,14
209,2374,100692,4.6,12.9
209,2381,100693,3.4,4.8
209,2390,100695,3.5,6.3
209,2403,100696,4.2,10.4
209,2491,100699,4.9,12.5
209,2493,100700,3.8,6.8
209,2529,100701,4.2,8.4
209,2536,100703,3.8,6.2
209,2570,100704,2.8,3.5
209,2571,100705,3,3.3
209,2599,137441,3.1,3.2
209,2606,100708,3.9,10.1
209,2782,100709,3.9,7.3
209,2811,100710,2.9,3.4
209,2815,100711,2.8,3.4
209,2818,100712,3.5,3.7
209,2869,100713,3.2,4
209,2870,100714,3.5,5
209,2871,100715,4.9,11.4
209,2878,100716,4.8,11.2
209,2887,100717,3.9,6.5
209,2911,100718,3.3,5
209,3301,100719,2.9,3.7
209,3315,100720,5.2,13.6
209,3325,145621,4.1,9
209,3344,100722,4,8.6
209,3360,100723,4.5,14.8
209,3374,100724,3.1,2.7
209,3416,100725,2.5,4.4
209,3420,100726,3.4,4.5
209,3454,100727,3.4,9.1
209,3472,100728,3.2,3.8
209,3478,100729,2.9,7.8
209,3518,100730,3.9,11.9
209,3548,100731,3.3,7.2
209,3588,100732,4.5,8.7
209,3594,100733,3.6,6.3
209,3597,100734,3.2,7.9
209,3650,100737,2.3,SUPP
209,3661,100739,2.7,2.7
209,4047,100740,5.2,13
209,4204,100741,5.3,13.8
209,4249,100742,6.1,15.7
209,4267,100743,5.6,14.3
209,4289,100745,6,16.4
209,4323,100747,5.1,13.8
209,4600,100748,4.7,10.5
209,4636,100749,3.6,4.6
209,4646,100750,4.6,8.8
209,4802,100752,3,4.7
209,5201,135843,5.3,15
209,6905,135073,4.5,9.8
209,6906,135070,5.1,12.2
209,6907,135264,4.8,11.3
209,7038,100760,6.7,21.2
209,7141,100763,11.3,31.9
209,7180,100765,9.4,29.1
209,7182,100766,8.6,28.8
209,7183,136423,7.2,21.5
210,2001,138270,4.2,7.9
210,2002,139907,3.6,5.6
210,2003,100774,4.4,10.3
210,2004,140937,2.9,SUPP
210,2005,141666,4.6,14
210,2006,142090,2.2,SUPP
210,2007,142875,4.9,11.7
210,2008,145130,4.3,10.3
