LA code,progression_rate,total_pop
E06000001,0.3893333333333333,5480.0
E06000002,0.4139473684210526,7890.0
E06000003,0.37442105263157893,7550.0
E06000004,0.42733333333333334,10385.0
E06000005,0.39053333333333334,5635.0
E06000006,0.374375,7135.0
E06000007,0.44536000000000003,11660.0
E06000008,0.4653333333333333,8990.0
E06000009,0.37889473684210523,7610.0
E06000010,0.31746875,13030.0
E06000011,0.4371162790697674,17200.0
E06000012,0.3368695652173913,8835.0
E06000013,0.35947826086956525,9195.0
E06000014,0.46341666666666664,8350.0
E06000015,0.35593548387096774,13345.0
E06000016,0.42267567567567566,18925.0
E06000017,0.45199999999999996,1445.0
E06000018,0.32105263157894737,14115.0
E06000019,0.3775217391304348,8870.0
E06000020,0.36408695652173917,9580.0
E06000021,0.33979411764705886,13080.0
E06000022,0.4325925925925926,7905.0
E06000023,0.34445454545454546,17580.0
E06000024,0.4185,10585.0
E06000025,0.37284375000000003,14710.0
E06000026,0.35775,12735.0
E06000027,0.3478823529411765,6745.0
E06000028,0.3795652173913044,7470.0
E06000029,0.37977777777777777,7135.0
E06000030,0.32837037037037037,11735.0
E06000031,0.3875454545454545,10580.0
E06000032,0.47200000000000003,12580.0
E06000033,0.3951176470588236,9550.0
E06000034,0.33089473684210524,9575.0
E06000035,0.3708157894736842,15105.0
E06000036,0.39966666666666667,5820.0
E06000037,0.4141818181818182,7970.0
E06000038,0.4003888888888889,6975.0
E06000039,0.5102142857142857,7980.0
E06000040,0.5281666666666667,6510.0
E06000041,0.5293,8085.0
E06000042,0.43971875,14380.0
E06000043,0.42827272727272725,10400.0
E06000044,0.31216,9080.0
E06000045,0.33290625,10380.0
E06000046,0.3358888888888889,6955.0
E06000047,0.3679090909090909,26340.0
E06000049,0.4738039215686275,18595.0
E06000050,0.4336595744680851,16950.0
E06000051,0.39602564102564103,14650.0
E06000052,0.37369863013698634,27835.0
E06000053,0.476,105.0
E06000054,0.4163387096774193,24730.0
E06000055,0.42474999999999996,8610.0
E06000056,0.40963636363636363,13970.0
E06000057,0.41835000000000006,16230.0
E07000004,0.48324999999999996,9745.0
E07000005,0.6433333333333333,5150.0
E07000006,0.58525,3255.0
E07000007,0.5264782608695652,9130.0
E07000008,0.5211538461538462,3725.0
E07000009,0.3927,4025.0
E07000010,0.2671818181818182,5110.0
E07000011,0.40159090909090905,9085.0
E07000012,0.5016499999999999,7360.0
E07000026,0.35733333333333334,5385.0
E07000027,0.2636,3930.0
E07000028,0.3363076923076923,5245.0
E07000029,0.322,3665.0
E07000030,0.4017142857142857,2885.0
E07000031,0.44421428571428573,4985.0
E07000032,0.3534375,6675.0
E07000033,0.2903,4170.0
E07000034,0.3653076923076923,5570.0
E07000035,0.4824,3790.0
E07000036,0.3224,5845.0
E07000037,0.4188181818181818,5030.0
E07000038,0.3996923076923077,5045.0
E07000039,0.3724166666666667,5225.0
E07000040,0.39180000000000004,6650.0
E07000041,0.36506666666666665,4895.0
E07000042,0.33736363636363637,4110.0
E07000043,0.3370714285714286,4815.0
E07000044,0.45175000000000004,4445.0
E07000045,0.38142105263157894,6595.0
E07000046,0.32455555555555554,3190.0
E07000047,0.4164285714285714,2595.0
E07000048,0.38742857142857146,2395.0
E07000049,0.421,4360.0
E07000050,0.371875,3215.0
E07000051,0.38916666666666666,2285.0
E07000052,0.408,5030.0
E07000053,0.34344444444444444,3290.0
E07000061,0.3479230769230769,4745.0
E07000062,0.28454545454545455,4875.0
E07000063,0.34138461538461534,4685.0
E07000064,0.3643636363636364,4285.0
E07000065,0.3992380952380953,7275.0
E07000066,0.3187272727272727,10370.0
E07000067,0.3478333333333333,8085.0
E07000068,0.471,3865.0
E07000069,0.3060833333333333,5240.0
E07000070,0.45557142857142857,8840.0
E07000071,0.38605,8785.0
E07000072,0.40194117647058825,6185.0
E07000073,0.3301818181818182,4740.0
E07000074,0.37825,3555.0
E07000075,0.3534,5015.0
E07000076,0.29483333333333334,7415.0
E07000077,0.5033333333333334,4230.0
E07000078,0.5055333333333334,4935.0
E07000079,0.46318181818181814,4105.0
E07000080,0.3637,4150.0
E07000081,0.3518,6920.0
E07000082,0.4453333333333333,6000.0
E07000083,0.43966666666666665,4290.0
E07000084,0.39331818181818184,8895.0
E07000085,0.4068,5720.0
E07000086,0.3942,6795.0
E07000087,0.4105714285714286,5630.0
E07000088,0.3024,4305.0
E07000089,0.5134545454545454,4605.0
E07000090,0.2732941176470588,6155.0
E07000091,0.3716521739130435,8490.0
E07000092,0.3601666666666667,4890.0
E07000093,0.4280666666666667,5945.0
E07000094,0.5075000000000001,5360.0
E07000095,0.3841538461538461,5410.0
E07000096,0.48254545454545456,7545.0
E07000098,0.5363076923076923,5070.0
E07000099,0.4924666666666667,6505.0
E07000102,0.55975,4660.0
E07000103,0.5471666666666667,4760.0
E07000105,0.38607142857142857,6870.0
E07000106,0.4197368421052632,6940.0
E07000107,0.39069230769230767,5390.0
E07000108,0.3875,6035.0
E07000109,0.38446153846153847,5895.0
E07000110,0.440421052631579,8165.0
E07000111,0.45980000000000004,5405.0
E07000112,0.35435714285714287,5560.0
E07000113,0.32541176470588234,7855.0
E07000114,0.35358823529411765,7595.0
E07000115,0.42123076923076924,6745.0
E07000116,0.5286428571428571,5985.0
E07000117,0.37916666666666665,4805.0
E07000118,0.4654285714285714,5590.0
E07000119,0.5012222222222222,3135.0
E07000120,0.3768888888888889,4830.0
E07000121,0.4247222222222222,7015.0
E07000122,0.40623076923076923,4935.0
E07000123,0.4651176470588235,7240.0
E07000124,0.5315,3270.0
E07000125,0.429625,3850.0
E07000126,0.452,5880.0
E07000127,0.4703333333333334,6095.0
E07000128,0.4496428571428571,5250.0
E07000129,0.41991666666666666,5165.0
E07000130,0.42245454545454547,7645.0
E07000131,0.47490000000000004,4685.0
E07000132,0.3987857142857143,5370.0
E07000133,0.43566666666666665,2655.0
E07000134,0.39492307692307693,5170.0
E07000135,0.4573333333333333,3170.0
E07000136,0.32925,3515.0
E07000137,0.36544444444444446,7050.0
E07000138,0.3429090909090909,4175.0
E07000139,0.4429230769230769,6255.0
E07000140,0.3267272727272727,4745.0
E07000141,0.4596875,7460.0
E07000142,0.4266363636363636,5105.0
E07000143,0.29982352941176466,6590.0
E07000144,0.3618888888888889,6505.0
E07000145,0.26692307692307693,5360.0
E07000146,0.2810526315789474,7130.0
E07000147,0.3117857142857143,4295.0
E07000148,0.33199999999999996,5075.0
E07000149,0.3964,6450.0
E07000150,0.31375,3735.0
E07000151,0.3946,4280.0
E07000152,0.36429999999999996,4750.0
E07000153,0.3903636363636364,5250.0
E07000154,0.39180645161290323,11425.0
E07000155,0.4459090909090909,4920.0
E07000156,0.36629999999999996,4315.0
E07000163,0.490875,2960.0
E07000164,0.4844545454545454,4410.0
E07000165,0.5119047619047619,7870.0
E07000166,0.4668333333333334,2515.0
E07000167,0.435,2580.0
E07000168,0.3653571428571429,5425.0
E07000169,0.4102,4355.0
E07000170,0.2838125,6715.0
E07000171,0.35435714285714287,6100.0
E07000172,0.4012857142857143,5135.0
E07000173,0.4078,5880.0
E07000174,0.30615384615384617,5540.0
E07000175,0.36415384615384616,6190.0
E07000176,0.5627333333333334,5490.0
E07000177,0.389,7140.0
E07000178,0.4742777777777778,5130.0
E07000179,0.45105000000000006,6290.0
E07000180,0.4090714285714286,5415.0
E07000181,0.4244,5260.0
E07000187,0.38371428571428573,5675.0
E07000188,0.347,6445.0
E07000189,0.3418333333333334,8370.0
E07000190,0.3831428571428571,5365.0
E07000191,0.27240000000000003,1550.0
E07000192,0.33276923076923076,5400.0
E07000193,0.4152666666666667,6180.0
E07000194,0.4410833333333333,5155.0
E07000195,0.400875,6355.0
E07000196,0.4402857142857143,5570.0
E07000197,0.4448125,6120.0
E07000198,0.423,5030.0
E07000199,0.32,4330.0
E07000200,0.4042727272727273,4485.0
E07000201,0.28485714285714286,2170.0
E07000202,0.304125,6870.0
E07000203,0.42175,5255.0
E07000204,0.39592857142857146,5465.0
E07000205,0.409,6425.0
E07000206,0.3121333333333334,5965.0
E07000207,0.5378333333333333,4540.0
E07000208,0.5606666666666666,3875.0
E07000209,0.48183333333333334,5405.0
E07000210,0.5374615384615384,3955.0
E07000211,0.45511111111111113,6425.0
E07000212,0.4117,3235.0
E07000213,0.3756923076923077,4660.0
E07000214,0.4931666666666667,4465.0
E07000215,0.42872727272727273,3850.0
E07000216,0.4990588235294118,4795.0
E07000217,0.52175,4410.0
E07000218,0.3535714285714286,3395.0
E07000219,0.3544705882352941,7025.0
E07000220,0.44716666666666666,5235.0
E07000221,0.4818,5875.0
E07000222,0.5065999999999999,5855.0
E07000223,0.32475,3015.0
E07000224,0.3359473684210526,7120.0
E07000225,0.40114285714285713,4715.0
E07000226,0.3496153846153846,6075.0
E07000227,0.4605625,6715.0
E07000228,0.44041176470588234,6925.0
E07000229,0.3759230769230769,5270.0
E07000234,0.5007142857142857,4915.0
E07000235,0.45709090909090916,3615.0
E07000236,0.37492307692307697,4680.0
E07000237,0.3932857142857143,4760.0
E07000238,0.41978947368421055,5760.0
