LA code,Ofsted Avg,lonely_avg,KS2 metrics PCA,1,2,3,4,GDHI income index,LA name,LA flow rate
E06000001,3.0,-0.5427612888784745,-22376.05413895384,-290.16789753856256,-381.33081671379296,192.4013604335024,-102.6559596083648,,Hartlepool,0.006385792149990862
E06000002,2.9555555555555557,1.316154662001808,-16308.990169305187,270.73627938882646,-594.6553740859304,255.37422456191462,96.13400558822242,,Middlesbrough,0.009087095329176117
E06000003,2.7916666666666665,0.6492659247524394,-18159.719121706472,-184.2658949304205,-645.498998199551,162.26150573251385,-65.77282328390027,76.2,Redcar and Cleveland,0.006610051101062461
E06000004,3.085714285714286,0.635474494702919,-11390.336474711654,-130.31318495137086,-730.9676008591778,54.77322542243475,-28.97427816068895,79.3,Stockton-on-Tees,0.00653478347168006
E06000005,2.8947368421052633,0.967079455657258,-22128.626435634455,-467.0597697311768,-238.72107965765625,78.06485626788555,-0.6333925372030308,82.8,Darlington,0.007193432818979379
E06000006,2.901639344262295,-0.561738971461398,-20332.339110795663,-589.2377279296663,-226.16299871524612,392.7522581970736,-28.18616859470899,,Halton,0.006003370038010894
E06000007,3.189873417721519,0.11980353242098765,-12615.781889383212,-678.1539358442573,-172.49026712437023,-102.27791059079519,-52.17961947579089,98.5,Warrington,0.005030900698126884
E06000008,2.935064935064935,-0.6547419701582997,-15969.891271330373,275.3974767470105,447.7983836914326,47.266688755691234,213.96413748083216,67.3,Blackburn with Darwen,0.007951765117091926
E06000009,3.0232558139534884,-0.4719562069533489,-19457.139041254653,-359.798362716265,-333.51440136728144,429.8108693890397,-47.528699015578255,76.2,Blackpool,0.0113462500893687
E06000010,3.013157894736842,-0.4659581244909339,-4770.902001419695,663.6650729225838,-957.670675573097,240.42435320915604,-98.56666496591751,69.0,"Kingston upon Hull, City of",0.005723646100670188
E06000011,2.9858156028368796,-1.090588172954776,-4941.681652427289,-982.0605153067993,-375.54271686408805,-100.90922616059001,39.75209066041626,96.1,East Riding of Yorkshire,0.006371631155324039
E06000012,3.0,-0.7818582895480646,-17646.557588490272,-466.21936529664765,-327.01430023859194,290.66127974179665,-16.552837805899724,,North East Lincolnshire,0.005812571171148624
E06000013,3.073170731707317,-0.545969433988288,-17895.81741419143,-621.0042224141504,-54.31740356587258,142.73042110928228,-34.82501450482551,79.3,North Lincolnshire,0.005686130278935631
E06000014,3.0625,-0.21082170213685023,-17371.200406009095,-744.1756968345904,-104.0220940120541,-170.02043375141753,-23.254196058652685,94.5,York,0.004924025883562401
E06000015,2.8433734939759034,-1.279646820479617,-9513.923487713608,-220.0240797883674,516.4078874595676,459.0759336639856,123.39980798905086,77.6,Derby,0.008037847133064109
E06000016,2.9238095238095236,-0.7656396602020562,3665.092493367439,2041.3319162451664,1082.7837342439436,-154.1607217944138,196.46947259496122,64.6,Leicester,0.00837528992476099
E06000017,3.260869565217391,0.35599083254798036,-29343.410947042208,-648.6251358502324,38.60803702415861,-68.11099575858128,-17.968735577292534,,Rutland,0.016441201803718903
E06000018,2.9797979797979797,-0.9155720657820737,669.9490687378023,2073.9576127418163,-1141.6936354369122,38.061740955833365,21.18390591046088,62.3,Nottingham,0.008195401705299673
E06000019,3.1470588235294117,-0.340424154883256,-17376.87911829487,-466.58677312452,-303.85552859441583,-141.06752754873258,88.9049642819327,96.2,"Herefordshire, County of",0.005967305447521736
E06000020,3.0294117647058822,-0.031203043130106512,-14729.624169618264,-348.870718512943,-223.29618194854623,109.23705434490661,-165.33049143903057,81.0,Telford and Wrekin,0.006821491966683356
E06000021,2.847058823529412,-0.2068210368116606,-5905.957468759446,434.32100049363225,-367.6523369823508,401.4029533667698,-117.38516607221898,72.0,Stoke-on-Trent,0.007369468004291678
E06000022,2.9166666666666665,0.7804356322465578,-18924.507235144687,-806.5753984543932,-79.52354764460236,-130.75734877861154,-74.1829162891368,,Bath and North East Somerset,0.006842345159478053
E06000023,2.8962962962962964,2.486619575039104,6745.969068412396,911.4800958177176,-572.4608033571018,91.82989826392566,-59.497919569718654,93.7,"Bristol, City of",0.005940093891806677
E06000024,2.9607843137254903,1.0801411643620666,-14790.403133807897,-937.7255113960955,-42.45816092022408,-139.3166205365175,-90.46855477619684,,North Somerset,0.005727468355619872
E06000025,2.936936936936937,0.11859788458531657,-8724.87126985803,-1131.56689469843,72.63747657587645,-209.98174353347122,96.80786969863047,107.3,South Gloucestershire,0.006676773215495275
E06000026,2.7093023255813953,0.2906483543221078,-9097.625975269313,-321.21735413587487,-541.708245117359,158.56255907578645,82.05295673271786,80.9,Plymouth,0.0061428517124719655
E06000027,2.8378378378378377,-0.6650010166619601,-20513.874884576555,-378.5558921609692,-355.0443174311906,47.793188112795114,-1.745950223362945,87.7,Torbay,0.008155448919384533
E06000030,2.7027027027027026,0.3479521383999852,-9736.227068967555,-154.038840809358,-107.67484890493904,-268.68100590183013,9.554173471400908,95.5,Swindon,0.006230628553795328
E06000031,2.8412698412698414,0.43589108427601997,-6406.173514114865,1321.9896514841203,-318.0114232955261,-316.4936594568642,2.678798365045474,84.6,Peterborough,0.009396020390721618
E06000032,2.8450704225352115,-0.7338581584843288,-10673.623884938146,542.109502230262,1501.0464247166167,67.9976297517286,186.94235617944665,79.1,Luton,0.010905719796140839
E06000033,3.0,1.7704316584684872,-16622.743079066902,-608.5803908587443,119.86687630575653,143.74915261616414,-120.53404213088346,98.3,Southend-on-Sea,0.007474918595441344
E06000034,2.92,-0.6485630602318938,-13443.347456666304,-120.49621755013423,-126.5376744463691,-107.43518918148449,12.081143181383256,92.9,Thurrock,0.011831402514173034
