,LA code,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,FSM Eligible %,<2 A levels,< AAB,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees
83,E06000034,0.750883392,1.192579505,0.265017668,2.922940655,,0.29501999999999995,0.87079,4.21101342,6.015733457,2.406293383,13.60834519,0.123365408,0.785,0.401
91,E06000035,1.421800948,2.517772512,0.0,3.050947867,,0.23638000000000003,0.84442,3.596214511,4.605678233,0.0,3.785488959,0.129306566,0.784,0.496
84,E06000036,1.606145251,1.815642458,0.0,3.770949721,,0.29681,0.87871,2.72,2.16,0.08,12.16973579,0.089350533,0.862,0.497
99,E06000037,2.224633749,2.17037439,0.0,3.635377103,,0.2099899999999999,0.82181,1.570996979,2.114803625,0.0,3.927492447,0.066073302,0.722,0.397
95,E06000038,3.787528868,5.034642032,0.0,9.936189608,,0.12587000000000004,0.6120000000000001,4.362606232,3.682719547,0.056657224,35.88435374,0.088735081,0.876,0.2440000000000001
96,E06000039,2.706078268,3.205661948,0.0,5.32889259,,0.15374,0.861,6.241331484,6.056403144,0.0,14.84049931,0.029950083,0.915,0.30500000000000005
101,E06000040,3.934010152,3.045685279,0.063451777,2.603174603,,0.16218999999999995,0.8243400000000001,2.508090615,3.074433657,4.28802589,19.61115807,0.069444444,0.861,0.4179999999999999
102,E06000041,1.839303001,0.9196515,0.048402711,1.937046005,,0.13656000000000001,0.82614,1.7507724,2.626158599,0.102986612,14.53608247,0.058038305,0.815,0.32200000000000006
92,E06000042,1.360914535,1.306477953,0.0,3.565596081,,0.28822000000000003,0.87885,2.86909743,3.197848177,0.059772863,7.296650718,0.021395409,0.848,0.373
85,E06000043,1.7186251,1.318944844,0.0,0.479616307,,0.18558999999999992,0.74297,3.158344003,6.103286385,0.0,1.621852326,0.034355675,0.754,0.3390000000000001
94,E06000044,2.303030303,3.757575758,0.0,2.343434343,,0.2602500000000001,0.93506,0.258799172,0.776397516,0.0,9.472049689,0.073594918,0.846,0.509
97,E06000045,2.88796103,4.558107168,0.034794711,2.958579882,,0.375,0.91169,1.432408236,2.506714414,0.044762757,10.66493955,0.035290343,0.765,0.516
89,E06000046,0.16064257,1.044176707,0.0,0.0,,0.32649000000000006,0.90339,0.334448161,2.006688963,0.0,0.0,0.077760498,0.8,0.42299999999999993
1,E06000047,0.398565165,0.657632523,0.079713033,2.028639618,,0.3007599999999999,0.7867999999999999,0.454357703,1.383725733,0.082610492,4.161516275,0.122755869,0.5860000000000001,0.48
7,E06000048,0.233333333,0.0,0.766666667,0.638226402,,0.27774,0.79884,0.0,0.0,0.633713561,0.637755102,,0.862,
16,E06000049,1.002109705,2.056962025,0.0,1.977848101,,0.19306,0.8144,0.311931375,2.157525344,0.103977125,4.501691387,0.080376837,0.814,0.4620000000000001
17,E06000050,1.299802204,1.977959876,0.0,1.158519356,,0.15590000000000004,0.76811,0.613317757,1.635514019,0.058411215,6.516656926,0.048750762,0.782,0.30500000000000005
64,E06000051,0.359195402,1.077586207,0.0,2.478448276,,0.13805999999999996,0.8796,0.263455024,0.752728641,0.0,5.83364697,0.159166175,0.5609999999999999,0.44700000000000006
104,E06000052,0.725764645,1.969932608,0.017280111,0.432077428,,0.26376,0.81148,0.166882996,1.038383089,0.092712776,1.967334818,0.100702156,0.379,0.479
113,E06000054,1.251659397,1.877489095,0.0,2.218850749,,0.18087999999999993,0.78847,0.390455531,0.867678959,0.0,7.765726681,0.032282205,0.642,0.40900000000000003
73,E06000055,1.156626506,0.578313253,0.385542169,1.596516691,,0.27729000000000004,0.86034,0.102669405,0.205338809,0.924024641,0.414507772,0.191781795,0.6739999999999999,0.538
75,E06000056,0.620200827,0.826934436,0.561134082,3.534303534,,0.25599000000000005,0.86675,0.053304904,0.479744136,0.26652452,5.879208979,0.128918442,0.594,0.42899999999999994
14,E08000001,1.491300746,2.89975145,0.0,1.171981466,,0.19801000000000002,0.92032,3.493571828,4.946897708,0.027948575,2.51173061,0.142981475,0.838,0.33299999999999996
15,E08000002,1.954821894,3.735881842,0.304083406,6.133909287,,0.18535999999999997,0.85519,2.713704206,5.92492085,1.040253279,9.136137494,0.193535244,0.7050000000000001,0.372
23,E08000003,1.940655323,2.685979468,0.0,4.598509352,,0.15595000000000003,0.84785,4.427986133,8.05231642,0.0,12.81121967,0.128147852,0.833,0.2909999999999999
24,E08000004,0.864649152,3.159294978,0.0,1.034259858,,0.24639,0.88593,3.609625668,8.856951872,0.0,5.314322748,0.107603196,0.83,0.31999999999999995
25,E08000005,1.907356948,3.678474114,0.034059946,1.942078365,,0.24224,0.8873800000000001,0.62707488,1.549243821,0.0,8.33640723,0.168771624,0.881,0.373
26,E08000006,1.271600913,3.814802739,0.097815455,2.023498695,,0.42529000000000006,0.9205,2.943548387,7.338709677,0.0,11.37096774,0.168137873,0.724,0.486
29,E08000007,1.936459909,3.025718608,0.0,1.14492317,,0.20113000000000003,0.86164,2.512077295,4.347826087,0.064412238,6.728612624,0.10654527,0.722,0.43100000000000005
30,E08000008,1.371841155,2.454873646,0.0,2.671480144,,0.252,0.8898900000000001,2.140443109,5.031918888,0.037551633,6.574004508,0.268794857,0.819,0.41100000000000003
31,E08000009,1.408959538,0.939306358,0.0,2.565028902,,0.06023999999999996,0.64486,4.516346478,2.359285474,0.37074486,7.255098629,0.162286545,0.83,0.16700000000000004
33,E08000010,1.556852933,2.251876564,0.027800945,2.614015573,,0.13227999999999995,0.82629,0.403923832,0.807847663,0.115406809,5.199306759,0.079431528,0.567,0.37
20,E08000011,1.396648045,2.402234637,0.0,12.94444444,,0.5833299999999999,1.0,3.091013165,3.377218088,0.0,41.08967083,0.065293822,0.663,0.5
22,E08000012,1.418026418,3.108003108,0.0,3.632478632,,0.2717100000000001,0.85079,6.080634501,7.644855695,0.0,5.155320555,0.125184299,0.869,0.357
28,E08000013,1.839303001,2.952565344,0.0,3.146176186,,0.2534399999999999,0.88069,0.152284264,0.659898477,0.0,10.69979716,0.041602057,0.808,0.3590000000000001
