location,location_code,geographic_level,time_period,phase,fsm_eligible_percent
Camden,E09000007,localAuthority,201718 Spring Term,Total,24.94958352
City of London,E09000001,localAuthority,201718 Spring Term,Total,11.26760563
Croydon,E09000008,localAuthority,201718 Spring Term,Total,19.84309388
Ealing,E09000009,localAuthority,201718 Spring Term,Total,13.29176782
Enfield,E09000010,localAuthority,201718 Spring Term,Total,15.24543359
Greenwich,E09000011,localAuthority,201718 Spring Term,Total,16.11014546
Hackney,E09000012,localAuthority,201718 Spring Term,Total,27.70093458
Hammersmith and Fulham,E09000013,localAuthority,201718 Spring Term,Total,20.93681082
Haringey,E09000014,localAuthority,201718 Spring Term,Total,17.15977862
Harrow,E09000015,localAuthority,201718 Spring Term,Total,8.518559373
Havering,E09000016,localAuthority,201718 Spring Term,Total,10.78936626
Hillingdon,E09000017,localAuthority,201718 Spring Term,Total,12.41058792
Hounslow,E09000018,localAuthority,201718 Spring Term,Total,14.65422108
Islington,E09000019,localAuthority,201718 Spring Term,Total,28.10182401
Kensington and Chelsea,E09000020,localAuthority,201718 Spring Term,Total,19.1305003
Kingston upon Thames,E09000021,localAuthority,201718 Spring Term,Total,7.125278331
Lambeth,E09000022,localAuthority,201718 Spring Term,Total,22.25513842
Lewisham,E09000023,localAuthority,201718 Spring Term,Total,16.08548931
Merton,E09000024,localAuthority,201718 Spring Term,Total,14.60420145
Newham,E09000025,localAuthority,201718 Spring Term,Total,13.62450898
Redbridge,E09000026,localAuthority,201718 Spring Term,Total,12.19107763
Richmond upon Thames,E09000027,localAuthority,201718 Spring Term,Total,7.727339503
Southwark,E09000028,localAuthority,201718 Spring Term,Total,22.15716344
Sutton,E09000029,localAuthority,201718 Spring Term,Total,11.10504278
Tower Hamlets,E09000030,localAuthority,201718 Spring Term,Total,33.60692301
Waltham Forest,E09000031,localAuthority,201718 Spring Term,Total,14.01177889
Wandsworth,E09000032,localAuthority,201718 Spring Term,Total,15.47062112
Westminster,E09000033,localAuthority,201718 Spring Term,Total,22.00483623
Bracknell Forest,E06000036,localAuthority,201718 Spring Term,Total,6.661831167
Brighton and Hove,E06000043,localAuthority,201718 Spring Term,Total,13.03433994
Buckinghamshire,E10000002,localAuthority,201718 Spring Term,Total,5.823331054
East Sussex,E10000011,localAuthority,201718 Spring Term,Total,12.67811581
Hampshire,E10000014,localAuthority,201718 Spring Term,Total,8.415718108
Isle of Wight,E06000046,localAuthority,201718 Spring Term,Total,13.06317044
Kent,E10000016,localAuthority,201718 Spring Term,Total,11.04638368
Medway,E06000035,localAuthority,201718 Spring Term,Total,11.86959182
Milton Keynes,E06000042,localAuthority,201718 Spring Term,Total,10.23230088
Oxfordshire,E10000025,localAuthority,201718 Spring Term,Total,7.958352772
Portsmouth,E06000044,localAuthority,201718 Spring Term,Total,18.62310745
Reading,E06000038,localAuthority,201718 Spring Term,Total,12.81258284
Slough,E06000039,localAuthority,201718 Spring Term,Total,9.238046206
Southampton,E06000045,localAuthority,201718 Spring Term,Total,18.68903015
Surrey,E10000030,localAuthority,201718 Spring Term,Total,7.206169917
West Berkshire,E06000037,localAuthority,201718 Spring Term,Total,6.317204301
West Sussex,E10000032,localAuthority,201718 Spring Term,Total,7.398430797
Windsor and Maidenhead,E06000040,localAuthority,201718 Spring Term,Total,6.152935283
Wokingham,E06000041,localAuthority,201718 Spring Term,Total,5.316140708
Bath and North East Somerset,E06000022,localAuthority,201718 Spring Term,Total,10.41172107
Bournemouth,E06000028,localAuthority,201718 Spring Term,Total,10.73831219
Bristol City of,E06000023,localAuthority,201718 Spring Term,Total,17.90494762
Cornwall,E06000052,localAuthority,201718 Spring Term,Total,10.79510325
Devon,E10000008,localAuthority,201718 Spring Term,Total,9.600718263
Dorset,E10000009,localAuthority,201718 Spring Term,Total,12.78210256
Gloucestershire,E10000013,localAuthority,201718 Spring Term,Total,9.375179299
Isles Of Scilly,E06000053,localAuthority,201718 Spring Term,Total,4.42804428
North Somerset,E06000024,localAuthority,201718 Spring Term,Total,8.124711011
Plymouth,E06000026,localAuthority,201718 Spring Term,Total,15.06124223
Poole,E06000029,localAuthority,201718 Spring Term,Total,9.932616635
Somerset,E10000027,localAuthority,201718 Spring Term,Total,11.67712722
South Gloucestershire,E06000025,localAuthority,201718 Spring Term,Total,8.088460361
Swindon,E06000030,localAuthority,201718 Spring Term,Total,12.2474118
