location,location_code,geographic_level,time_period,school_phase,third_preference_offers_percent,non_preferred_offer_percent,no_offer_percent,schools_in_another_la_offer_percent
Staffordshire,E10000028,localAuthority,201718,Secondary,1.420493725,1.834229761,0,8.882560347
Stoke-on-Trent,E06000021,localAuthority,201718,Secondary,1.055223356,2.708406613,0,15.13793103
Telford and Wrekin,E06000020,localAuthority,201718,Secondary,2.268145161,4.183467742,0,7.358870968
Walsall,E08000030,localAuthority,201718,Secondary,3.959208158,5.548890222,0.359928014,14.13904371
Warwickshire,E10000031,localAuthority,201718,Secondary,3.339580849,3.373658204,0.954165957,3.741846893
Wolverhampton,E08000031,localAuthority,201718,Secondary,4.766875435,3.862212944,0.139178845,10.27874564
Worcestershire,E10000034,localAuthority,201718,Secondary,0.841852075,2.375225496,0.300661455,9.680337756
Bedford,E06000055,localAuthority,201718,Secondary,0.102669405,0.205338809,0.924024641,0.414507772
Cambridgeshire,E10000003,localAuthority,201718,Secondary,0.759750127,2.144183691,0.067533345,5.473897618
Central Bedfordshire,E06000056,localAuthority,201718,Secondary,0.053304904,0.479744136,0.26652452,5.879208979
Essex,E10000012,localAuthority,201718,Secondary,2.113089415,1.910911107,0,6.671449067
Hertfordshire,E10000015,localAuthority,201718,Secondary,3.70398773,5.168711656,0.13803681,3.271386884
Luton,E06000032,localAuthority,201718,Secondary,3.176748902,4.798918554,0.033795201,5.170665765
Norfolk,E10000020,localAuthority,201718,Secondary,0.255071056,1.530426333,0.085023685,1.833636916
Peterborough,E06000031,localAuthority,201718,Secondary,1.661695782,2.087771623,0.213037921,4.654141759
Southend-on-Sea,E06000033,localAuthority,201718,Secondary,4.791666667,7.083333333,0,12.34375
Suffolk,E10000029,localAuthority,201718,Secondary,0.870953694,2.206416026,0.043547685,2.294510601
Thurrock,E06000034,localAuthority,201718,Secondary,4.21101342,6.015733457,2.406293383,13.60834519
Bracknell Forest,E06000036,localAuthority,201718,Secondary,2.72,2.16,0.08,12.16973579
Brighton and Hove,E06000043,localAuthority,201718,Secondary,3.158344003,6.103286385,0,1.621852326
Buckinghamshire,E10000002,localAuthority,201718,Secondary,5.020847811,4.308547603,0,9.507346586
East Sussex,E10000011,localAuthority,201718,Secondary,1.790332206,4.833896956,0.05967774,4.776119403
Hampshire,E10000014,localAuthority,201718,Secondary,0.737375242,1.519439893,0,6.42037837
Isle of Wight,E06000046,localAuthority,201718,Secondary,0.334448161,2.006688963,0,0
Kent,E10000016,localAuthority,201718,Secondary,3.515391065,3.683075817,0.005988741,2.689105827
Medway,E06000035,localAuthority,201718,Secondary,3.596214511,4.605678233,0,3.785488959
Milton Keynes,E06000042,localAuthority,201718,Secondary,2.86909743,3.197848177,0.059772863,7.296650718
Oxfordshire,E10000025,localAuthority,201718,Secondary,1.548604722,3.250536645,0,2.897884085
Portsmouth,E06000044,localAuthority,201718,Secondary,0.258799172,0.776397516,0,9.472049689
Reading,E06000038,localAuthority,201718,Secondary,4.362606232,3.682719547,0.056657224,35.88435374
Slough,E06000039,localAuthority,201718,Secondary,6.241331484,6.056403144,0,14.84049931
Southampton,E06000045,localAuthority,201718,Secondary,1.432408236,2.506714414,0.044762757,10.66493955
Surrey,E10000030,localAuthority,201718,Secondary,2.736471623,4.58424989,0.316761989,6.23179451
West Berkshire,E06000037,localAuthority,201718,Secondary,1.570996979,2.114803625,0,3.927492447
West Sussex,E10000032,localAuthority,201718,Secondary,1.728545344,1.618989653,0.109555691,2.022910066
Windsor and Maidenhead,E06000040,localAuthority,201718,Secondary,2.508090615,3.074433657,4.28802589,19.61115807
Wokingham,E06000041,localAuthority,201718,Secondary,1.7507724,2.626158599,0.102986612,14.53608247
Bath and North East Somerset,E06000022,localAuthority,201718,Secondary,0.943396226,2.653301887,0.353773585,0.946745562
Cornwall,E06000052,localAuthority,201718,Secondary,0.166882996,1.038383089,0.092712776,1.967334818
Devon,E10000008,localAuthority,201718,Secondary,0.231860338,1.309328969,0.027277687,6.602147687
Gloucestershire,E10000013,localAuthority,201718,Secondary,1.659751037,3.622725822,0.446856049,3.187759005
North Somerset,E06000024,localAuthority,201718,Secondary,0.277777778,1.25,0.138888889,2.920723227
Plymouth,E06000026,localAuthority,201718,Secondary,1.266308519,0.844205679,0,4.988488104
Somerset,E10000027,localAuthority,201718,Secondary,0.553342187,1.859229748,1.040283311,8.387385372
South Gloucestershire,E06000025,localAuthority,201718,Secondary,2.443342776,2.620396601,0,15.33286119
Swindon,E06000030,localAuthority,201718,Secondary,0.804743753,1.482422702,0,15.31138437
Torbay,E06000027,localAuthority,201718,Secondary,1.410788382,1.908713693,0.331950207,3.746877602
Wiltshire,E06000054,localAuthority,201718,Secondary,0.390455531,0.867678959,0,7.765726681
"Bristol, City of",E06000023,localAuthority,201718,Secondary,4.458598726,9.389006841,0,13.37579618
Camden,E09000007,localAuthority,201718,Secondary,6.145624582,5.878423514,0,26.45290581
City of London,E09000001,localAuthority,201718,Secondary,0,11.76470588,0,100
