,LA code,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,FSM Eligible %,<2 A levels,< AAB,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees
17,E06000050,1.299802204,1.977959876,0.0,1.158519356,0.613317757,1.635514019,0.05841121500000001,6.5166569260000005,11.57775714,15.590000000000003,76.81099999999999,4.8750762000000005,78.2,30.500000000000004
64,E06000051,0.359195402,1.077586207,0.0,2.478448276,0.263455024,0.752728641,0.0,5.83364697,8.586505456,13.805999999999996,87.96000000000001,15.9166175,56.099999999999994,44.7
104,E06000052,0.725764645,1.969932608,0.017280111,0.432077428,0.166882996,1.038383089,0.092712776,1.967334818,10.79510325,26.375999999999998,81.148,10.070215600000001,37.9,47.9
113,E06000054,1.251659397,1.877489095,0.0,2.218850749,0.390455531,0.8676789590000001,0.0,7.765726681,7.308487701999999,18.087999999999994,78.847,3.2282205,64.2,40.900000000000006
73,E06000055,1.156626506,0.578313253,0.385542169,1.596516691,0.102669405,0.205338809,0.9240246409999999,0.414507772,10.74090925,27.729000000000003,86.034,19.1781795,67.39999999999999,53.800000000000004
75,E06000056,0.620200827,0.8269344359999999,0.561134082,3.534303534,0.053304904,0.479744136,0.26652452,5.879208979,6.81961172,25.599000000000004,86.675,12.8918442,59.4,42.89999999999999
14,E08000001,1.491300746,2.89975145,0.0,1.171981466,3.493571828,4.946897708,0.027948575,2.51173061,15.94007876,19.801000000000002,92.032,14.298147499999999,83.8,33.3
15,E08000002,1.9548218940000002,3.7358818420000004,0.304083406,6.133909287,2.713704206,5.92492085,1.040253279,9.136137494,14.79383703,18.535999999999998,85.519,19.353524399999998,70.5,37.2
23,E08000003,1.940655323,2.685979468,0.0,4.598509352,4.427986133,8.05231642,0.0,12.811219669999998,24.77103773,15.595000000000002,84.785,12.814785200000001,83.3,29.099999999999994
24,E08000004,0.864649152,3.1592949780000006,0.0,1.034259858,3.609625668,8.856951872,0.0,5.314322748,17.62072274,24.639,88.593,10.760319599999999,83.0,31.999999999999996
25,E08000005,1.907356948,3.678474114,0.034059946,1.942078365,0.62707488,1.549243821,0.0,8.33640723,18.92479714,24.224,88.738,16.8771624,88.1,37.3
26,E08000006,1.271600913,3.8148027389999997,0.097815455,2.023498695,2.943548387,7.338709676999999,0.0,11.37096774,21.60630009,42.529,92.05,16.813787299999998,72.39999999999999,48.6
29,E08000007,1.936459909,3.025718608,0.0,1.14492317,2.512077295,4.347826087,0.064412238,6.728612624000001,11.40447819,20.113000000000003,86.164,10.654527,72.2,43.10000000000001
30,E08000008,1.371841155,2.454873646,0.0,2.671480144,2.140443109,5.031918888,0.037551633,6.574004508000001,17.373172,25.2,88.989,26.8794857,81.89999999999999,41.1
31,E08000009,1.408959538,0.939306358,0.0,2.565028902,4.516346478,2.359285474,0.37074486,7.255098628999999,8.56983862,6.023999999999996,64.486,16.2286545,83.0,16.700000000000003
33,E08000010,1.556852933,2.251876564,0.027800945,2.614015573,0.40392383200000004,0.807847663,0.115406809,5.199306759,14.27110846,13.227999999999994,82.62899999999999,7.9431528,56.699999999999996,37.0
20,E08000011,1.396648045,2.402234637,0.0,12.94444444,3.091013165,3.3772180879999993,0.0,41.08967083,29.13825477,58.33299999999999,100.0,6.529382200000001,66.3,50.0
22,E08000012,1.418026418,3.108003108,0.0,3.632478632,6.080634501,7.644855695000001,0.0,5.155320555,24.02755492,27.171000000000014,85.07900000000001,12.5184299,86.9,35.699999999999996
28,E08000013,1.8393030009999998,2.952565344,0.0,3.146176186,0.152284264,0.659898477,0.0,10.69979716,15.83864916,25.343999999999987,88.069,4.1602057,80.80000000000001,35.90000000000001
27,E08000014,1.048218029,2.236198463,0.139762404,2.309307208,0.44444444399999994,2.222222222,0.185185185,4.322766571,15.29370524,28.924000000000007,89.264,9.865425499999999,62.79999999999999,38.5
34,E08000015,1.95585359,3.2411288070000004,0.0,0.335289187,2.014968336,4.231433506,0.0,3.595696489,17.01661421,20.135,82.07,9.0541438,71.10000000000001,32.99999999999999
35,E08000016,0.767263427,2.301790281,0.0,1.6441359149999997,0.41322314000000004,1.198347107,0.0,8.966942149,18.04951637,21.611000000000004,86.301,13.3495506,74.6,49.6
38,E08000017,0.374765771,1.561524047,0.031230481000000004,1.030927835,0.673076923,2.179487179,0.0,4.038461538,15.34814128,25.311000000000007,87.912,8.8674943,77.4,34.400000000000006
45,E08000018,0.428054001,1.317089233,0.0,1.21830754,0.639515315,1.7839111410000001,0.0,1.413665433,15.072489589999998,30.367,89.884,8.567048400000001,61.6,45.10000000000001
46,E08000019,1.160285099,1.839880656,0.0,1.077407592,2.0023757,3.784150687,0.0,5.124724249,20.30140523,21.843,80.235,15.482775400000001,79.4,36.6
2,E08000020,0.8746355689999998,0.485908649,0.0,1.344215074,,,,,15.938681230000002,,,,,
5,E08000021,2.049967969,3.4913516979999994,0.0,3.010890455,1.875901876,3.03030303,0.0,2.260702261,25.61347035,21.501000000000005,83.1,14.879826500000002,74.2,47.3
6,E08000022,1.267482517,2.01048951,0.524475524,2.090592334,0.646678424,2.821869489,0.646678424,5.89953271,12.618676030000001,23.04600000000001,83.978,5.8673968,84.6,27.09999999999999
9,E08000023,0.766283525,0.383141762,2.681992337,1.00565682,1.8413597729999998,1.487252125,3.116147309,0.978336827,19.16040214,21.601000000000003,84.055,17.0271514,57.00000000000001,49.6
11,E08000024,0.636492221,0.0,0.601131542,1.529704731,0.94855892,0.0,2.553812477,3.406963684,20.99619089,31.703000000000003,87.952,13.183423699999999,29.799999999999994,37.7
59,E08000025,2.443373176,3.466948425,0.046225979,3.077939234,6.144352026,6.372417493999999,0.516501207,10.5724496,24.36733834,26.756,80.928,11.3241771,94.8,30.400000000000006
60,E08000026,1.136632726,1.515510301,0.0,1.8707080269999998,3.1380753140000004,5.413179916,0.0,4.837866109,15.81079875,26.602000000000004,87.824,12.9619961,74.6,38.1
61,E08000027,1.048218029,2.961215933,0.0,3.585246324,1.898364486,2.424065421,0.496495327,12.07897793,14.56261588,20.513000000000005,83.384,19.8634913,81.10000000000001,41.5
63,E08000028,1.412803532,4.194260486,0.022075055,4.986760812,4.582146249,6.433998101,0.094966762,14.112615819999998,20.48053191,37.754,94.787,14.325923199999998,92.5,36.9
65,E08000029,2.310101801,3.3281127639999997,0.313234143,2.435192459,4.233226837,4.033546326,0.559105431,10.44176707,13.30939831,11.580000000000002,86.139,14.8702697,93.9,32.3
69,E08000030,1.071532001,4.083405734,0.318563568,4.36416185,3.959208158,5.548890222,0.359928014,14.13904371,18.82316398,25.402,86.399,11.481527,77.60000000000001,37.7
71,E08000031,2.211838006,3.831775701,0.0,4.579439252,4.766875435,3.862212944,0.139178845,10.27874564,20.08459484,31.50700000000001,87.198,22.931734000000002,88.8,34.5
36,E08000032,1.434893389,2.105404318,0.013410218999999998,2.561695279,4.219126708,6.897937315999999,0.040182159,10.08977623,17.7045031,27.078999999999997,89.47800000000001,2.5240288,85.2,33.3
37,E08000033,1.157981803,1.11662531,0.041356493,0.951199338,3.407290016,3.407290016,0.0,2.989771833,14.358848009999999,23.96299999999999,85.185,11.7979532,75.4,42.1
40,E08000034,1.530912659,1.707556428,0.0,2.082522382,2.255319149,3.042553191,0.042553191,7.508460237,18.98307091,16.73,78.789,10.674732,63.0,29.200000000000003
41,E08000035,2.119805948,2.77367644,0.0,0.611685298,2.379521692,3.136642231,0.0,5.107559188,15.623014129999998,25.395999999999997,85.51100000000001,0.4890972,80.5,39.900000000000006
47,E08000036,0.640683396,2.028830753,0.0,1.7474185860000002,0.464037123,1.711136891,0.0,1.6064257030000002,13.05310153,20.26699999999999,87.075,12.769688200000001,80.89999999999999,45.4
116,E09000001,10.34482759,6.896551724,0.0,79.31034483,,,,,11.26760563,,,,,100.0
129,E09000002,0.9943181820000001,1.25,0.0,6.392045455000001,4.939876503,4.777380565,0.0,17.09457264,14.870042929999999,24.604000000000003,88.271,4.4036527,92.5,33.5
130,E09000003,2.43204578,2.742012399,0.0,6.938483548000001,5.332322467,8.213292899,0.0,19.23174122,11.34932585,11.992999999999999,72.70400000000001,5.292032,83.0,17.900000000000006
131,E09000004,1.360544218,1.326530612,0.0,5.068027211,5.272596844,2.116212339,0.21520803399999996,20.27318476,10.95918554,21.638,82.883,12.3366536,94.19999999999999,32.099999999999994
132,E09000005,2.389705882,2.862394958,0.026260504,11.05857631,6.420177701,8.025222127,0.0,28.26024649,11.03309722,21.419,79.167,6.1167068,77.4,17.700000000000003
133,E09000006,2.807107906,1.6739634300000001,0.0,3.4766932780000004,6.111578357,4.850014017,0.0,16.96103168,8.730267943,18.70099999999999,78.887,11.4411962,92.5,40.6
115,E09000007,2.076777848,4.405286344,0.0,10.9502832,6.145624582,5.878423514,0.0,26.45290581,24.94958352,21.382999999999996,87.64800000000001,9.4216878,73.5,29.099999999999994
134,E09000008,1.776160924,1.326770811,0.0,8.41001498,6.965405154,5.595542141,0.0,26.677501739999997,19.84309388,33.951,90.283,6.4750971,84.8,35.90000000000001
135,E09000009,2.300799225,2.15548559,0.12109469599999999,5.64985451,6.570680628,6.2827225129999995,0.41884816799999997,22.42376446,13.29176782,15.081999999999995,82.772,11.174432900000001,89.5,18.099999999999994
136,E09000010,2.044566965,1.355387089,0.045945325,6.341911765,5.913729128,5.658627087,0.0,16.92165044,15.24543359,24.663,83.59100000000001,9.7545949,79.89999999999999,22.199999999999996
137,E09000011,2.446236559,3.655913978,0.0,8.11827957,7.922705314,8.405797101,0.0,26.086956519999998,16.11014546,28.031000000000006,91.09700000000001,3.2978423,90.5,30.000000000000004
117,E09000012,2.468652038,0.0,2.155172414,7.328794553,7.795275591,0.0,6.929133858,13.49407783,27.70093458,26.858000000000004,85.556,15.0803318,92.2,23.2
118,E09000013,4.377564979,4.582763338,0.0,6.497948015999999,6.850393701,14.17322835,0.0,23.46456693,20.93681082,23.855000000000004,81.22,13.723472000000001,94.89999999999999,25.0
119,E09000014,1.546961326,1.031307551,0.0,6.998158379000001,6.52761684,5.986867516,0.0,18.77172654,17.15977862,26.024,80.723,6.7934783,90.0,17.500000000000004
138,E09000015,4.295259306,4.740693605,0.0,6.204263443,5.414244186,2.943313953,0.0,26.67151163,8.518559373,12.36799999999999,82.282,12.1816168,97.39999999999999,16.09999999999999
139,E09000016,2.047051635,3.269172013,0.0,3.391384051,4.321643642,3.1526744600000005,0.0,9.528869996,10.78936626,20.258,88.048,9.4571107,92.4,40.79999999999999
140,E09000017,1.9637847489999998,1.530221882,0.0,5.253761795,6.879391101,5.06440281,0.0,14.75409836,12.41058792,28.328999999999994,88.13,9.0252708,90.9,34.900000000000006
141,E09000018,3.599114064,2.380952381,0.0,8.388704319,6.668824862,6.86306248,0.0,23.04953059,14.65422108,17.808999999999997,86.953,8.7616149,99.0,27.200000000000003
120,E09000019,3.9167079819999997,0.0,3.272186415,9.892362891,6.424747174,0.0,7.138607970999999,29.276105060000003,28.101824010000005,25.123000000000005,87.58399999999999,10.7189974,85.0,27.400000000000002
121,E09000020,4.966139955,9.367945824,0.0,10.60948081,6.686046512000001,10.31976744,0.0,28.197674419999995,19.1305003,23.48,82.158,16.478342700000002,95.0,19.900000000000006
142,E09000021,1.681555439,2.364687336,0.0,3.448275862,4.612546125,2.398523985,0.061500615,18.5548071,7.125278331,16.108999999999995,68.399,2.3986568,86.5,34.099999999999994
122,E09000022,2.714134649,2.255904124,0.0,8.706379979,8.336491095,6.896551724,0.0,31.03448276,22.25513842,24.414,77.757,11.6427044,92.30000000000001,23.799999999999997
123,E09000023,3.051965906,0.0,2.474566951,8.739780096,7.879564382,0.0,9.288917361,35.31073446,16.08548931,21.259000000000007,91.46799999999999,12.3453742,87.2,25.900000000000002
143,E09000024,3.146584804,5.257099002,0.0,9.746738296,7.065750736,5.397448479,0.0,39.09001957,14.604201449999998,23.602,85.90299999999999,3.1364349,88.9,19.700000000000006
124,E09000025,1.141602634,1.536772777,0.0,2.173435785,4.948105238,3.8136615979999995,0.0,4.827419744,13.62450898,12.977000000000006,67.645,6.2715585,98.0,21.799999999999997
144,E09000026,2.022821577,0.07780083,1.8672199170000001,3.831319105,6.261757592,5.509271701,0.107497984,13.09139785,12.19107763,16.755,84.392,7.348855599999999,94.19999999999999,16.200000000000003
145,E09000027,2.806122449,1.573129252,1.403061224,1.765719208,5.828877005,5.614973262,1.6042780749999999,15.197404,7.727339503,24.706000000000007,75.348,4.0659422,86.2,33.3
125,E09000028,1.642451042,1.800379027,0.0,6.632975363,7.135173897,6.310505558,0.0,17.92757261,22.15716344,18.712000000000007,80.357,11.4829396,84.8,21.40000000000001
146,E09000029,2.688573562,4.480955937,0.0,10.8995894,4.770017036,1.746166951,1.533219761,13.66782007,11.10504278,12.304000000000004,68.218,5.0738377,92.9,21.90000000000001
126,E09000030,2.087170043,2.179251074,0.0,2.302025783,5.174096974,5.66221933,0.0,7.061503416999999,33.60692301,26.225999999999992,90.029,1.5901862999999998,72.10000000000001,21.799999999999997
147,E09000031,1.828206616,1.9733023799999998,0.0,3.395240859,3.979591837,3.503401361,0.0,13.16326531,14.01177889,24.883999999999993,93.34,6.8936992,76.2,28.900000000000002
127,E09000032,3.76984127,3.637566138,0.0,6.746031746,9.418282548,7.29455217,0.092336103,24.16820702,15.47062112,23.902,85.83000000000001,5.6552668,90.60000000000001,22.599999999999998
128,E09000033,4.048582996,2.186234818,0.0,9.95951417,7.211120765,10.86012163,0.0,24.15291051,22.00483623,18.696,75.971,6.3918185,95.0,21.999999999999996
86,E10000002,2.332892124,2.63070814,0.0,2.051621443,5.020847811,4.308547603,0.0,9.507346586,5.823331054,10.145999999999999,67.578,,81.89999999999999,24.0
74,E10000003,0.9046524990000001,1.550832855,0.014359563,1.019675427,0.759750127,2.144183691,0.067533345,5.473897618,9.320304574,15.552999999999994,76.496,,65.5,36.7
18,E10000006,0.24149286500000003,0.614709111,0.06586169,0.153778559,0.732217573,1.987447699,0.062761506,0.188402763,9.875283773,25.04900000000001,82.014,,77.0,44.3
51,E10000007,0.474176599,0.346020761,0.704857106,2.721878225,0.368469535,0.526385051,0.500065798,7.059756742000001,12.78336887,19.294,83.257,,52.89999999999999,38.0
105,E10000008,0.44259656700000005,1.019313305,0.040236052,0.67087079,0.231860338,1.309328969,0.027277686999999995,6.6021476869999995,9.600718263,27.370000000000005,82.005,,85.1,47.5
87,E10000011,1.789998155,2.86030633,0.018453589,1.199704688,1.790332206,4.833896956,0.05967774,4.776119403,12.678115809999998,26.11199999999999,86.89099999999999,,86.5,49.3
76,E10000012,1.802135407,1.8083071039999998,0.006171697,1.425749907,2.113089415,1.910911107,0.0,6.671449067,9.90450087,20.063,82.624,,80.89999999999999,46.099999999999994
106,E10000013,1.471886959,2.929055049,0.279658522,1.062730627,1.659751037,3.6227258220000005,0.446856049,3.187759005,9.375179299,17.191999999999997,78.118,,56.3,39.6
88,E10000014,1.55698982,1.922948965,0.0,1.510413201,0.737375242,1.519439893,0.0,6.42037837,8.415718108,18.633,80.072,,74.0,42.2
77,E10000015,2.660938258,2.841105952,0.297969649,1.529051988,3.70398773,5.168711656,0.13803681,3.271386884,7.352085254,14.873000000000003,77.816,,83.7,34.699999999999996
90,E10000016,2.18118869,2.544720138,0.017311021,0.704103422,3.515391065,3.6830758170000006,0.005988741,2.689105827,11.04638368,20.95999999999999,80.911,,71.6,39.7
21,E10000017,1.6287371710000003,2.439387178,0.20080321300000004,1.311573143,2.094526201,3.7062991510000005,0.163513198,3.4705974110000004,13.47102822,17.546000000000006,79.536,,62.9,37.9
53,E10000018,1.021817178,0.0,2.526926263,1.402464938,0.53361793,0.0,2.241195304,4.475982533,7.564744466,19.855,85.546,,67.9,39.900000000000006
54,E10000019,0.732942431,0.999466951,0.0,1.319296375,1.176627891,2.647412756,0.0,4.171680706,12.50400316,20.799999999999997,82.587,,52.5,39.6
79,E10000020,0.837808808,2.255639098,0.085929108,1.266094421,0.255071056,1.530426333,0.085023685,1.8336369159999997,12.71074481,22.730000000000004,84.99799999999999,,69.19999999999999,47.699999999999996
55,E10000021,1.46548831,2.338069135,0.0,1.286497371,2.917940877,4.204892966,0.0254842,4.002039256,9.179275796,19.608999999999998,87.673,,83.39999999999999,40.5
44,E10000023,0.285001781,0.961881012,0.0,1.3671875,1.041847543,2.170515715,0.017364126,5.053908356,8.129432945,20.47,77.201,,75.5,36.5
57,E10000024,1.126379815,1.8472628970000002,0.0,2.162649245,0.501552424,2.006209697,0.0,6.794841175000001,11.38694144,21.289,84.518,,68.19999999999999,35.6
93,E10000025,0.675961132,1.042106746,0.056330094000000004,1.070875018,1.548604722,3.2505366449999995,0.0,2.897884085,7.958352772,17.44,82.732,,67.2,42.00000000000001
109,E10000027,0.9627384560000001,1.123194865,0.320912819,1.985333572,0.553342187,1.859229748,1.040283311,8.387385372,11.67712722,20.70399999999999,82.857,,81.0,47.3
66,E10000028,0.840800974,1.72585463,0.0,2.030456853,1.420493725,1.8342297609999998,0.0,8.882560347,9.517661553,21.817999999999994,89.335,,76.4,44.3
82,E10000029,0.8422768650000001,1.5894579539999998,0.0,1.616628176,0.870953694,2.206416026,0.043547685,2.294510601,10.82049374,24.678,84.851,,67.7,43.60000000000001
98,E10000030,2.409454823,2.943194815,0.007624856999999999,2.249504346,2.736471623,4.58424989,0.316761989,6.23179451,7.206169917,18.299999999999994,81.106,,73.3,37.3
70,E10000031,1.372705507,3.1923383880000005,0.063846768,1.452977806,3.339580849,3.373658204,0.954165957,3.7418468929999995,9.240554141,19.15,79.403,,75.6,39.900000000000006
100,E10000032,2.110121991,1.351796901,0.032970656,1.077396658,1.728545344,1.618989653,0.109555691,2.022910066,7.398430797,25.123000000000005,84.18900000000001,,76.6,48.0
72,E10000034,1.028739386,2.008491182,0.391900718,2.459016393,0.841852075,2.375225496,0.300661455,9.680337756,10.39983921,24.76600000000001,87.146,,82.39999999999999,42.39999999999999
